IMSA_DecisionFinal,Applicant_ResponseFinal,IMSA_AcceptedApplicant,WAIVER,IMSA_Graduate,Race_text,IMSA_Graduate,ID_Person,Race_ISBE,IMSA_CurrentStudent,IMSA_AcceptedApplicant,IMSA_Applicant,IMSA_Attendee,Applicant_Year,Applicant_Response1,Applicant_Response2,Applicant_Response3,IMSA_DecisionFinal,IMSA_DecisionOriginal,Home_County,Home_City,Applicant_SATM,Applicant_SATCR,Applicant_SATW
NULL,NULL,No,NULL,NULL,White,NULL,43623,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Lee,Ashton,420,420,420
NULL,NULL,No,NULL,NULL,,NULL,16296,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Peoria,Dunlap,630,580,530
NULL,NULL,No,NULL,NULL,,NULL,16297,White,NULL,No,Yes,NULL,2011,NULL,NULL,NULL,NULL,No Offer,Peoria,Dunlap,600,530,NULL
NULL,NULL,No,NULL,NULL,,NULL,16305,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Downers Grove,660,530,550
NULL,NULL,No,NULL,NULL,,NULL,16313,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer-8th,DuPage,Oak Brook,590,480,570
NULL,NULL,No,NULL,NULL,,NULL,33802,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Lake,Vernon Hills,710,620,NULL
NULL,NULL,No,NULL,NULL,,NULL,33802,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,Lake,Vernon Hills,700,640,640
NULL,NULL,No,NULL,NULL,Unknown,NULL,37293,Not Reported,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,540,540,540
NULL,NULL,No,NULL,NULL,Unknown,NULL,37293,Not Reported,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Kane,Aurora,670,640,630
NULL,NULL,No,NULL,NULL,,NULL,16325,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Dekalb,Dekalb,530,510,520
NULL,NULL,No,NULL,NULL,,NULL,2633,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,660,590,NULL
NULL,NULL,No,NULL,NULL,,NULL,2633,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,DuPage,Naperville,730,650,650
NULL,NULL,No,NULL,NULL,Asian,NULL,43624,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,DuPage,Naperville,660,590,NULL
NULL,NULL,No,NULL,NULL,Asian,NULL,43624,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,Waitlist,DuPage,Naperville,730,650,650
NULL,NULL,No,NULL,NULL,,NULL,33803,Asian,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,670,630,NULL
NULL,NULL,No,NULL,NULL,White,NULL,43625,White,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Kane,Sugar Grove,520,530,530
NULL,NULL,No,NULL,NULL,"Black or African American, White",NULL,15246,Two or More Races,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer-8th,Will,Bolingbrook,620,520,520
NULL,NULL,No,NULL,NULL,"Black or African American, White",NULL,15246,Two or More Races,NULL,No,Yes,NULL,2014,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,710,640,NULL
NULL,NULL,Yes,NULL,No,"Black or African American, White",No,15247,Two or More Races,No,Yes,Yes,Yes,2011,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,540,600,NULL
NULL,NULL,No,NULL,NULL,,NULL,16350,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,DuPage,Aurora,410,480,570
NULL,NULL,No,NULL,NULL,,NULL,16354,White,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,600,450,NULL
NULL,NULL,No,NULL,NULL,,NULL,16354,White,NULL,No,Yes,NULL,2013,NULL,NULL,NULL,NULL,No Offer,Peoria,Peoria,660,520,620
NULL,NULL,No,NULL,NULL,Black or African American,NULL,44095,Black or African American,NULL,No,Yes,NULL,2016,NULL,NULL,NULL,NULL,No Offer,Cook,Tinley Park,470,490,470
NULL,NULL,No,NULL,NULL,,NULL,16380,Asian,NULL,No,Yes,NULL,2012,NULL,NULL,NULL,NULL,No Offer,Will,Bolingbrook,610,540,510
NULL,NULL,No,NULL,NULL,Asian,NULL,43626,Asian,NULL,No,Yes,NULL,2015,NULL,NULL,NULL,NULL,No Offer,Cook,Northbrook,NULL,NULL,NULL
